psraid,sample,int_date,version,cregion,usr,q6a,q6b,q7,pay1a,pay1b,pay1c,pay1d,pay1e,pay1f,pay1g,pay1h,pay1i,pay1j,pay1k,pay1l,pay1m,pay1n,pay1o,pay1p,pay2a,pay2b,pay2c,pay3,pay4,ql1,ql1a,qc1,hh1,emp,par,sex,age,educ,hisp,race,inc,activ75,activ87,activ112,income,iphoneuse,hphoneuse,recage,receduc,racethn,weight,standwt
100245,1,101010,2,1,R,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,3,1,2,2,99,5,2,1,99,3,3,3,9,2,2,9,3,1,1.58823529411765,.504584213124768
100254,1,100710,1,2,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1, , ,2,3,2,2,68,2,2,1,2,3,1,1,1,2,2,6,1,1,2.47058823529412,.784908775971862
100262,1,100710,1,3,S,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,20,4,1, , ,2,1,2,1,55,5,2,2,6,2,2,3,3,2,2,5,3,2,1.88235294117647,.598025734073799
100271,1,100710,1,1,U,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,3,2,2,39,7,2,1,7, , , ,4,1,1,3,4,1,3.70588235294118,1.17736316395779
100276,1,100710,1,1,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,3,2,1,65,6,2,1,4, , , ,2,2,2,6,4,1,1.76470588235294,.560649125694187
100283,1,100710,1,3,U,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,2,1,99,9,2,1,99, , , ,9,2,2,9,9,1,1.88235294117647,.598025734073799
100288,1,100710,1,3,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1, , ,2,3,2,1,71,6,2,1,7,3,3,3,4,2,2,6,4,1,1.52941176470588,.485895908934962
100292,1,100910,2,3,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,4,1,2,1,21,5,1,1,4,3,2,2,2,2,2,1,3,3,4.47058823529412,1.42031111842527
100295,1,100710,1,3,U,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2, ,10,2,2, ,1,3,2,1,40,3,2,5,4,2,3,3,2,1,1,3,2,4,8.17647058823529,2.59767428238307
100299,1,100910,2,2,R,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,3,2,1,66,2,2,1,3, , , ,1,2,2,6,1,1,2.11764705882353,.672778950833024
100300,1,100710,1,3,S,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,30,2,1, , ,2,1,1,2,28,7,2,1,9,1,1,1,4,2,2,2,4,1,3.64705882352941,1.15867485976799
100335,1,100710,1,3,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1, , ,1,3,2,2,75,3,2,1,1,3,3,3,1,2,2,6,2,1,1.23529411764706,.392454387985931
100339,1,100910,2,2,S,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,1,3,2,2,75,3,2,1,3,3,3,3,1,2,2,6,2,1,1,.317701171226706
100398,1,100710,1,2,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,3,4,1,2,29,2,2,1,1, , , ,1,2,2,2,1,1,8.17647058823529,2.59767428238307
100403,1,100710,1,1,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1, , ,2,1,2,2,42,5,2,1,5,3,1,1,2,2,2,3,3,1,3.76470588235294,1.1960514681476
100411,1,100710,1,3,R,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,1, , ,2,2,2,1,50,3,2,2,4,2,3,3,2,2,2,4,2,2,1.82352941176471,.579337429883993
100429,1,100910,2,2,U,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,2,2,81,6,2,1,99, , , ,9,2,2,6,4,1,1,.317701171226706
100460,1,100710,1,3,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,4,2,2,55,3,2,2,2, , , ,1,2,2,5,2,2,1.76470588235294,.560649125694187
